"sku","special_from_date"
"127810","19/04/26"
"127809","19/04/26"
"127455","19/04/26"
"127454","19/04/26"
"127408","19/04/26"
"127406","19/04/26"
"127391","19/04/26"
"225701","19/04/26"
"225698","19/04/26"
"215640","19/04/26"
"137428","19/04/26"
"137427","19/04/26"
"137426","19/04/26"
"215210","19/04/26"
"215209","19/04/26"
"519081","19/04/26"
"243842","19/04/26"
"243371","19/04/26"
"133423","19/04/26"
"216916","19/04/26"
"216898","19/04/26"
"216576","19/04/26"
"158383","19/04/26"
"158378","19/04/26"
"158377","19/04/26"
"158376","19/04/26"
"531142","19/04/26"
"481069","19/04/26"
"289933","19/04/26"
"289735","19/04/26"
"288358","19/04/26"
"289648","19/04/26"
"158696","19/04/26"
"289258","19/04/26"
"158681","19/04/26"
"158389","19/04/26"
"127537","19/04/26"
"448131","19/04/26"
"448173","19/04/26"
"289238","19/04/26"
"289264","19/04/26"
"289278","19/04/26"
"290051","19/04/26"
"289218","19/04/26"
"446377","19/04/26"
"427544","19/04/26"
"191452","19/04/26"
"188570","19/04/26"
"198951","19/04/26"
"216715","19/04/26"
"216714","19/04/26"
"216712","19/04/26"
"203566","19/04/26"
"203122","19/04/26"
"289228","19/04/26"
"289316","19/04/26"
"289606","19/04/26"
"289610","19/04/26"
"477212","19/04/26"
"292970","19/04/26"
"377857","19/04/26"
"190377","19/04/26"
"189076","19/04/26"
"188728","19/04/26"
"125591","19/04/26"
"124839","19/04/26"
"216713","19/04/26"
"203124","19/04/26"
"203069","19/04/26"
"203066","19/04/26"
"203044","19/04/26"
"202833","19/04/26"
"449143","19/04/26"
"537636","19/04/26"
"526670","19/04/26"
"127649","19/04/26"
"158066","19/04/26"
"158170","19/04/26"
"158180","19/04/26"
"237207","19/04/26"
"189377","19/04/26"
"189380","19/04/26"
"255483","19/04/26"
"128305","19/04/26"
"128318","19/04/26"
"128321","19/04/26"
"128328","19/04/26"
"289240","19/04/26"
"288379","19/04/26"
"559198","19/04/26"
"202504","19/04/26"
"202536","19/04/26"
"202659","19/04/26"
"202663","19/04/26"
"202741","19/04/26"
"202803","19/04/26"
"202675","19/04/26"
"127996","19/04/26"
"127878","19/04/26"
"127814","19/04/26"
"127793","19/04/26"
"127470","19/04/26"
"127437","19/04/26"
"127407","19/04/26"
"127400","19/04/26"
"263635","19/04/26"
"215206","19/04/26"
"215963","19/04/26"
"215638","19/04/26"
"137436","19/04/26"
"137432","19/04/26"
"137431","19/04/26"
"137423","19/04/26"
"215212","19/04/26"
"293874","19/04/26"
"243735","19/04/26"
"378488","19/04/26"
"216703","19/04/26"
"216631","19/04/26"
"216926","19/04/26"
"291918","19/04/26"
"158380","19/04/26"
"158379","19/04/26"
"531125","19/04/26"
"159260","19/04/26"
"159258","19/04/26"
"159256","19/04/26"
"289930","19/04/26"
"289937","19/04/26"
"289614","19/04/26"
"289632","19/04/26"
"227400","19/04/26"
"289643","19/04/26"
"227383","19/04/26"
"158691","19/04/26"
"289320","19/04/26"
"203117","19/04/26"
"203485","19/04/26"
"128701","19/04/26"
"255418","19/04/26"
"136475","19/04/26"
"237236","19/04/26"
"237242","19/04/26"
"109408","19/04/26"
"180694","19/04/26"
"180705","19/04/26"
"216598","19/04/26"
"216600","19/04/26"
"216975","19/04/26"
"216955","19/04/26"
"289230","19/04/26"
"243378","19/04/26"
"243100","19/04/26"
"243016","19/04/26"
"229450","19/04/26"
"180795","19/04/26"
"180860","19/04/26"
"180882","19/04/26"
"180890","19/04/26"
"180907","19/04/26"
"180971","19/04/26"
"181250","19/04/26"
"181309","19/04/26"
"181317","19/04/26"
"158141","19/04/26"
"158142","19/04/26"
"158146","19/04/26"
"158148","19/04/26"
"158153","19/04/26"
"158160","19/04/26"
"158219","19/04/26"
"158220","19/04/26"
S2046069,"19/04/26"
"158274","19/04/26"
"158278","19/04/26"
"158280","19/04/26"
"158332","19/04/26"
"158349","19/04/26"
"158412","19/04/26"
"159350","19/04/26"
"159381","19/04/26"
"159382","19/04/26"
"159386","19/04/26"
"158488","19/04/26"
"158490","19/04/26"
"158599","19/04/26"
"158600","19/04/26"
"158602","19/04/26"
"158630","19/04/26"
"158633","19/04/26"
"159469","19/04/26"
"159463","19/04/26"
"229590","19/04/26"
"229591","19/04/26"
"229593","19/04/26"
"229457","19/04/26"
"229461","19/04/26"
"229468","19/04/26"
"223950","19/04/26"
"224737","19/04/26"
"225345","19/04/26"
"225500","19/04/26"
"225502","19/04/26"
"225569","19/04/26"
"226148","19/04/26"
"159423","19/04/26"
"412136","19/04/26"
"110369","19/04/26"
"111797","19/04/26"
"137444","19/04/26"
"137555","19/04/26"
"137563","19/04/26"
"137564","19/04/26"
"225374","19/04/26"
"225383","19/04/26"
"225668","19/04/26"
"225727","19/04/26"
"227841","19/04/26"
"232328","19/04/26"
"401166","19/04/26"
"127990","19/04/26"
"128005","19/04/26"
"127697","19/04/26"
"128149","19/04/26"
"128159","19/04/26"
"128169","19/04/26"
"128186","19/04/26"
"128194","19/04/26"
"128207","19/04/26"
"128215","19/04/26"
"128219","19/04/26"
"128322","19/04/26"
"128346","19/04/26"
"128706","19/04/26"
"128849","19/04/26"
"128850","19/04/26"
"128980","19/04/26"
"125841","19/04/26"
"125848","19/04/26"
"125854","19/04/26"
"126098","19/04/26"
"127014","19/04/26"
"127067","19/04/26"
"127374","19/04/26"
"135048","19/04/26"
"135050","19/04/26"
"135563","19/04/26"
"136703","19/04/26"
"136792","19/04/26"
