sku,qty,is_in_stock
458904,0.0000,1
458905,0.0000,1
458906,0.0000,1
458907,0.0000,1
458908,0.0000,1
458909,0.0000,1
458910,0.0000,1
458911,0.0000,1
458912,0.0000,1
458913,0.0000,1
458914,0.0000,1
458915,0.0000,1
458916,0.0000,1
458917,0.0000,1
458918,0.0000,1
458919,0.0000,1
458920,0.0000,1
458921,0.0000,1
458922,0.0000,1
458923,0.0000,1
458924,0.0000,1
458925,0.0000,1
458926,0.0000,1
458927,0.0000,1
458928,0.0000,1
458929,0.0000,1
458930,0.0000,1
458933,0.0000,1
458934,0.0000,1
458935,0.0000,1
458936,0.0000,1
458937,0.0000,1
458938,0.0000,1
458939,0.0000,1
458940,0.0000,1
458941,0.0000,1
458942,0.0000,1
458943,0.0000,1
458944,0.0000,1
458945,0.0000,1
458946,0.0000,1
458947,0.0000,1
458948,0.0000,1
458949,0.0000,1
458950,0.0000,1
458951,0.0000,1
458952,0.0000,1
458953,0.0000,1
458954,0.0000,1
458956,0.0000,1
458957,0.0000,1
458958,0.0000,1
458959,0.0000,1
458960,0.0000,1
458961,0.0000,1
458962,0.0000,1
458964,0.0000,1
458965,0.0000,1
458966,0.0000,1
458967,0.0000,1
458968,0.0000,1
458969,0.0000,1
458970,0.0000,1
458971,0.0000,1
458972,0.0000,1
458973,0.0000,1
458974,0.0000,1
458975,0.0000,1
458976,0.0000,1
458977,0.0000,1
458978,0.0000,1
458979,0.0000,1
458980,0.0000,1
458981,0.0000,1
458982,0.0000,1
458983,0.0000,1
458984,0.0000,1
458985,0.0000,1
458986,0.0000,1
458987,0.0000,1
458988,0.0000,1
458989,0.0000,1
458990,0.0000,1
458991,0.0000,1
458993,0.0000,1
458994,0.0000,1
458995,0.0000,1
458996,0.0000,1
458997,0.0000,1
458998,0.0000,1
458999,0.0000,1
459001,0.0000,1
459002,0.0000,1
459003,0.0000,1
459004,0.0000,1
459005,0.0000,1
459006,0.0000,1
459007,0.0000,1
459008,0.0000,1
459009,0.0000,1
459010,0.0000,1
459011,0.0000,1
459012,0.0000,1
459013,0.0000,1
459014,0.0000,1
459015,0.0000,1
459016,0.0000,1
459017,0.0000,1
459018,0.0000,1
459019,0.0000,1
459020,0.0000,1
459021,0.0000,1
459022,0.0000,1
459023,0.0000,1
459024,0.0000,1
459025,0.0000,1
459026,0.0000,1
459027,0.0000,1
459029,0.0000,1
459030,0.0000,1
459031,0.0000,1
459032,0.0000,1
459033,0.0000,1
459034,0.0000,1
459035,0.0000,1
459036,0.0000,1
459037,0.0000,1
459038,0.0000,1
459039,0.0000,1
459040,0.0000,1
459041,0.0000,1
459042,0.0000,1
459043,0.0000,1
459044,0.0000,1
459045,0.0000,1
459046,0.0000,1
459047,0.0000,1
459048,0.0000,1
459050,0.0000,1
459051,0.0000,1
459052,0.0000,1
459053,0.0000,1
459054,0.0000,1
459055,0.0000,1
459056,0.0000,1
459057,0.0000,1
459058,0.0000,1
459059,0.0000,1
459060,0.0000,1
459061,0.0000,1
459062,0.0000,1
459063,0.0000,1
459064,0.0000,1
459065,0.0000,1
459066,0.0000,1
459067,0.0000,1
459068,0.0000,1
459069,0.0000,1
459070,0.0000,1
459071,0.0000,1
459072,0.0000,1
459073,0.0000,1
459074,0.0000,1
459075,0.0000,1
459076,0.0000,1
459077,0.0000,1
459078,0.0000,1
459079,0.0000,1
459080,0.0000,1
459081,0.0000,1
459082,0.0000,1
459083,0.0000,1
459084,0.0000,1
459085,0.0000,1
459086,0.0000,1
459087,0.0000,1
459088,0.0000,1
459089,0.0000,1
459090,0.0000,1
459091,0.0000,1
459092,0.0000,1
459093,0.0000,1
459094,0.0000,1
459095,0.0000,1
459096,0.0000,1
459097,0.0000,1
459098,0.0000,1
459099,0.0000,1
459100,0.0000,1
459101,0.0000,1
459102,0.0000,1
459103,0.0000,1
459104,0.0000,1
459105,0.0000,1
459106,0.0000,1
459107,0.0000,1
459108,0.0000,1
459109,0.0000,1
459110,0.0000,1
459111,0.0000,1
459112,0.0000,1
459113,0.0000,1
459114,0.0000,1
459115,0.0000,1
459116,0.0000,1
459117,0.0000,1
459118,0.0000,1
459119,0.0000,1
459120,0.0000,1
459121,0.0000,1
459122,0.0000,1
459123,0.0000,1
459124,0.0000,1
459125,0.0000,1
459126,0.0000,1
459127,0.0000,1
459128,0.0000,1
459130,0.0000,1
459131,0.0000,1
459132,0.0000,1
459133,0.0000,1
459134,0.0000,1
459135,0.0000,1
459136,0.0000,1
459137,0.0000,1
459138,0.0000,1
459139,0.0000,1
459140,0.0000,1
459141,0.0000,1
459142,0.0000,1
459143,0.0000,1
459144,0.0000,1
459145,0.0000,1
459146,0.0000,1
459147,0.0000,1
459148,0.0000,1
459149,0.0000,1
459150,0.0000,1
459151,0.0000,1
459152,0.0000,1
459153,0.0000,1
459154,0.0000,1
459155,0.0000,1
459156,0.0000,1
459157,0.0000,1
459158,0.0000,1
