sku,eancode
103173,4011334240235
103174,4011334244028
103175,4011334240273
103176,4011334240280
103177,4011334240297
103178,4011334240303
103179,4011334240433
103180,4011334240549
103181,4011334240556
103182,4011334240563
103183,4011334240570
103184,4011334240587
103185,4011334240594
103186,4011334240600
103195,4011334251880
103196,4011334251897
103201,4011334241232
103202,4011334241249
103203,4011334241256
103204,4011334241300
103206,4011334241027
103207,4011334241034
103208,4011334241041
103209,4011334241058
103214,4011334241065
103215,4011334241072
103216,4011334241089
103217,4011334241096
103218,4011334241102
103219,4011334241119
103228,4011334051435
103229,4011334051473
103230,4011334051480
103231,4011334051497
103232,4011334051503
103233,4011334051527
103234,4011334051541
103235,4011334051558
103236,4011334240679
103238,4011334240693
103239,4011334240709
103240,4011334240617
103241,4011334240624
103242,4011334240631
103243,4011334240648
103244,4011334240716
103245,4011334240785
103246,4011334240792
103247,4011334240808
103248,4011334240655
103249,4011334240662
103250,4011334240723
103251,4011334240730
103256,4011334240747
103257,4011334240754
103258,4011334240778
103259,4011334240761
103266,4011334240921
103267,4011334240938
103268,4011334240945
103269,4011334240952
103270,4011334285052
103271,4011334285069
103272,4011334285083
103273,4011334285106
103274,4011334256793
103275,4011334256809
103276,4011334256816
103277,4011334256823
103279,4011334240990
103280,4011334241003
103281,4011334241010
103282,4011334214885
103283,4011334214892
103284,4011334207641
103287,4011334207658
103290,4011334180678
103291,4011334180661
103292,4011334172642
103293,4011334172659
103294,4011334172666
103299,4011334275961
103300,4011334298830
103301,4011334263760
103302,4011334298847
103306,4011334225157
103307,4011334001942
103309,4011334219484
103310,4011334249290
103311,4011334219491
103312,4011334249283
103313,4011334219477
103314,4011334249276
103315,4011334214908
103316,4011334214915
103317,4011334276821
103318,4011334276814
103319,4011334276807
103320,4011334276791
103325,4011334001997
103326,4011334145073
103327,4011334219538
103330,4011334002000
103331,4011334145158
103332,4011334219934
103333,4011334236580
103336,4011334252184
103337,4011334212904
103338,4011334164470
103340,4011334303947
103342,4011334303930
103343,4011334238942
103345,4011334276937
103346,4011334276920
103347,4011334284871
103348,4011334276876
103349,4011334276838
103350,4011334230564
103351,4011334237778
103353,4011334002055
103354,4011334145080
103355,4011334219996
103358,4011334002079
103359,4011334145165
103360,4011334220169
103361,4011334236597
103364,4011334252191
103365,4011334164494
103367,4011334303961
103369,4011334303954
103370,4011334238959
103372,4011334276982
103373,4011334276944
103374,4011334284888
103375,4011334276883
103376,4011334276845
103377,4011334230571
103378,4011334237785
103379,4011334002130
103380,4011334145097
103381,4011334222583
103383,4011334222736
103384,4011334002147
103385,4011334145509
103386,4011334222743
103387,4011334236603
103390,4011334252207
103391,4011334210177
103393,4011334303978
103395,4011334304005
103396,4011334238980
103397,4011334276975
103398,4011334276968
103399,4011334284895
103400,4011334276890
103401,4011334276852
103402,4011334230588
103403,4011334237792
103404,4011334002192
103405,4011334145103
103406,4011334222804
103408,4011334222880
103409,4011334222958
103410,4011334222965
103411,4011334236610
103412,4011334252214
103415,4011334303985
103417,4011334304012
103418,4011334253273
103419,4011334284901
103420,4011334276906
103421,4011334279341
103422,4011334230595
103423,4011334002246
103424,4011334145110
103429,4011334223153
103430,4011334236627
103431,4011334252221
103434,4011334303992
103437,4011334304029
103438,4011334253280
103439,4011334284918
103440,4011334276913
103441,4011334276869
103442,4011334230601
103443,4011334002567
103444,4011334145400
103445,4011334223160
103446,4011334220213
103447,4011334220220
103448,4011334277002
103449,4011334276999
103450,4011334002642
103451,4011334002659
103452,4011334002666
103455,4011334220268
103456,4011334220343
103458,4011334220411
103460,4011334208426
103461,4011334208433
103462,4011334208440
103463,4011334277026
