"attribute_code","frontend_label","frontend_input","is_visible_on_front","is_user_defined","is_required"
"anzahl_der_speicherplaetze","Anzahl der Speicherplätze","select","1","1","0"
"anzahl_der_sprossen","Anzahl der Sprossen","select","1","1","0"
"anzahl_der_steckdosen","Anzahl der Steckdosen","select","1","1","0"
"anzahl_der_steckkontakte","Anzahl der Steckkontakte","select","1","1","0"
"anzahl_der_steckkontaktreihen","Anzahl der Steckkontaktreihen","select","1","1","0"
"anzahl_der_steckplaetze","Anzahl der Steckplätze","select","1","1","0"
"anzahl_der_steckschluessel","Anzahl der Steckschlüssel","select","1","1","0"
"anzahl_der_steckverbinder_vorn","Anzahl der Steckverbinder vorne","select","1","1","0"
"anzahl_der_stufen","Anzahl der Stufen","select","1","1","0"
"anzahl_der_teilungseinheiten","Anzahl der Teilungseinheiten","select","1","1","0"
"anzahl_der_teilungseinheiten_p","Anzahl der Teilungseinheiten pro DIN-Schiene","select","1","1","0"
"anzahl_der_telefonbucheintraeg","Anzahl der Telefonbucheinträge","select","1","1","0"
"anzahl_der_titelspeicher","Anzahl der Titelspeicher","select","1","1","0"
"anzahl_der_toene","Anzahl der Töne","select","1","1","0"
"anzahl_der_ventilatoren","Anzahl der Ventilatoren","select","1","1","0"
"anzahl_der_versorgbaren_linien","Anzahl der versorgbaren Linien","select","1","1","0"
"anzahl_der_wechsler","Anzahl der Wechsler","select","1","1","0"
"anzahl_der_weckzeiten","Anzahl der Weckzeiten","select","1","1","0"
"anzahl_der_wendeln","Anzahl der Wendeln","select","1","1","0"
"anzahl_der_zaehlerplaetze","Anzahl der Zählerplätze","select","1","1","0"
"anzahl_der_zeichen","Anzahl der Zeichen","select","1","1","0"
"anzahl_der_zuege","Anzahl der Züge","select","1","1","0"
"anzahl_der_zugbolzen","Anzahl der Zugbolzen","select","1","1","0"
"anzahl_der_zweifachen_oeffnung","Anzahl der zweifachen Öffnungen","select","1","1","0"
"anzeige","Anzeige","select","1","1","0"
"anzeige_der_drei_phasen","Anzeige der drei Phasen","select","1","1","0"
"anzeige_des_differenzstroms","Anzeige des Differenzstroms","select","1","1","0"
"anzeige_des_isolationswertes","Anzeige des Isolationswertes","select","1","1","0"
"anzeigeart","Anzeigeart","select","1","1","0"
"anzugsdrehmoment","Anzugsdrehmoment","select","1","1","0"
"anzugsspannung","Anzugsspannung","select","1","1","0"
"arbeitstiefe","Arbeitstiefe","select","1","1","0"
"arbeitsweise","Arbeitsweise","select","1","1","0"
"art_der_ausfuehrbaren_bewegung","Art der ausführbaren Bewegungen","select","1","1","0"
"art_der_ausgangsspannung","Art der Ausgangsspannung","select","1","1","0"
"art_der_betaetigung","Art der Betätigung","select","1","1","0"
"art_der_datenuebertragung","Art der Datenübertragung","select","1","1","0"
"art_der_dimmung","Art der Dimmung","select","1","1","0"
"art_der_einfuehrung","Art der Einführung","select","1","1","0"
"art_der_eingangsspannung","Art der Eingangsspannung","select","1","1","0"
"art_der_entriegelung","Art der Entriegelung","select","1","1","0"
"art_der_gehaeusedurchfuehrung","Art der Gehäusedurchführung","select","1","1","0"
"art_der_kochstellen","Art der Kochstellen","select","1","1","0"
"art_der_leuchte","Art der Leuchte","select","1","1","0"
"art_der_lueftung","Art der Lüftung","select","1","1","0"
"art_der_luftfuehrung","Art der Luftführung","select","1","1","0"
"art_der_regelung","Art der Regelung","select","1","1","0"
"art_der_schliessung","Art der Schließung","select","1","1","0"
"art_der_schnittstelle","Art der Schnittstelle","select","1","1","0"
"art_der_spannungsversorgung","Art der Spannungsversorgung","select","1","1","0"
"art_der_verbindung","Art der Verbindung","select","1","1","0"
"art_der_verriegelung","Art der Verriegelung","select","1","1","0"
"art_des_akustischen_signals","Art des akustischen Signals","select","1","1","0"
"art_des_digitalausgangs","Art des Digitalausgangs","select","1","1","0"
"art_des_elektrischen_zubehoers","Art des elektrischen Zubehörs","select","1","1","0"
"art_des_leuchtmittels","Art des Leuchtmittels","select","1","1","0"
"art_des_mechanischen_zubehoers","Art des mechanischen Zubehörs","select","1","1","0"
"art_des_montagematerials","Art des Montagematerials","select","1","1","0"
"art_des_trafos","Art des Trafos","select","1","1","0"
"art_des_umrichters","Art des Umrichters","select","1","1","0"
"art_des_verbinders","Art des Verbinders","select","1","1","0"
"art_des_zubehoers","Art des Zubehörs","select","1","1","0"
"artikelklasse_id","","text","1","1","0"
"auf_rolle","Auf Rolle","select","1","1","0"
"aufdruck","Aufdruck","select","1","1","0"
"aufdruckkennzeichnung","Aufdruck/Kennzeichnung","select","1","1","0"
"aufladbar","Aufladbar","select","1","1","0"
"aufloesung","Auflösung","select","1","1","0"
"aufnahme","Aufnahme","select","1","1","0"
"aufnahme_fangstange","Aufnahme Fangstange","select","1","1","0"
"aufnahmeleistung_waermepumpe","Aufnahmeleistung Wärmepumpe","select","1","1","0"
"aufnahmesystem","Aufnahmesystem","select","1","1","0"
"aufputz","Aufputz","select","1","1","0"
"ausbaumoeglichkeit","Ausbaumöglichkeit","select","1","1","0"
"ausfuehrung","Ausführung","select","1","1","0"
"ausfuehrung_abschlussplatte","Ausführung Abschlussplatte","select","1","1","0"
"ausfuehrung_als_sammelschienen","Ausführung als Sammelschienenadapter","select","1","1","0"
"ausfuehrung_anschluss_1","Ausführung Anschluss 1","select","1","1","0"
"ausfuehrung_anschluss_2","Ausführung Anschluss 2","select","1","1","0"
"ausfuehrung_der_grillflaeche","Ausführung der Grillfläche","select","1","1","0"
"ausfuehrung_der_grillplatte","Ausführung der Grillplatte","select","1","1","0"
"ausfuehrung_der_oberflaeche","Ausführung der Oberfläche","select","1","1","0"
"ausfuehrung_der_pole","Ausführung der Pole","select","1","1","0"
"ausfuehrung_der_schnittstelle","Ausführung der Schnittstelle","select","1","1","0"
"ausfuehrung_der_steckdose","Ausführung der Steckdose","select","1","1","0"
"ausfuehrung_der_verriegelung","Ausführung der Verriegelung","select","1","1","0"
"ausfuehrung_des_analogausgangs","Ausführung des Analogausgangs","select","1","1","0"
"ausfuehrung_des_anschlusssocke","Ausführung des Anschlusssockels für Aktoren und Sensoren","select","1","1","0"
"ausfuehrung_des_betaetigungsel","Ausführung des Betätigungselements","select","1","1","0"
"ausfuehrung_des_displays","Ausführung des Displays","select","1","1","0"
"ausfuehrung_des_elektrischen_a","Ausführung des elektrischen Anschlusses","select","1","1","0"
"ausfuehrung_des_handgriffes","Ausführung des Handgriffes","select","1","1","0"
"ausfuehrung_des_kodierelements","Ausführung des Kodierelements","select","1","1","0"
"ausfuehrung_des_lnbs","Ausführung des LNBs","select","1","1","0"
"ausfuehrung_des_schaltantriebs","Ausführung des Schaltantriebs","select","1","1","0"
"ausfuehrung_des_schaltausgangs","Ausführung des Schaltausgangs","select","1","1","0"
"ausfuehrung_des_schalters","Ausführung des Schalters","select","1","1","0"
"ausfuehrung_des_schaltglieds","Ausführung des Schaltglieds","select","1","1","0"
"ausfuehrung_des_sicherungshalt","Ausführung des Sicherungshalters","select","1","1","0"
"ausfuehrung_e_anschluss","Ausführung elektrischer Anschluss","select","1","1","0"
"ausfuehrung_e_anschluss_feldse",""Ausführung elektrischer Anschluss"," feldseitig"","select","1","1","0"
"ausfuehrung_e_anschluss_gehaeu",""Ausführung elektrischer Anschluss"," gehäuseseitig"","select","1","1","0"
"ausfuehrung_flammwidrig","Ausführung flammwidrig","select","1","1","0"
"ausfuehrung_funkenarm","Ausführung funkenarm","select","1","1","0"
"ausfuehrung_kennmelder","Ausführung Kennmelder","select","1","1","0"
"ausfuehrung_loetspitze","Ausführung Lötspitze","select","1","1","0"
"ausfuehrung_mit_abdeckung","Ausführung mit Abdeckung","select","1","1","0"
"ausfuehrung_mit_flussmittel","Ausführung mit Flussmittel","select","1","1","0"
"ausfuehrung_schaft","Ausführung Schaft","select","1","1","0"
"ausfuehrung_schweisshandschuh","Ausführung Schweißhandschuh","select","1","1","0"
"ausfuehrung_seite_1","Ausführung Seite 1","select","1","1","0"
"ausfuehrung_seite_2","Ausführung Seite 2","select","1","1","0"
"ausfuehrung_zwischenplatte","Ausführung Zwischenplatte","select","1","1","0"
"ausfuehrungbetaetigung","Ausführung/Betätigung","select","1","1","0"
"ausgangsleistung","Ausgangsleistung","select","1","1","0"
"ausgangsspannung","Ausgangsspannung","select","1","1","0"
"ausgefuehrt_als_sicherheits_tr","Ausgeführt als Sicherheits-Transformator","select","1","1","0"
"ausgleichshoehe","Ausgleichshöhe","select","1","1","0"
"aushaerteverfahren","Aushärteverfahren","select","1","1","0"
"auslassdurchmesser","Auslassdurchmesser","select","1","1","0"
"ausloesecharakteristik","Auslösecharakteristik","select","1","1","0"
"ausloesetechnik","Auslösetechnik","select","1","1","0"
"ausschaltvorwarnung","Ausschaltvorwarnung","select","1","1","0"
"aussendurchmesser","Außendurchmesser","select","1","1","0"
"aussendurchmesser_ca","Außendurchmesser ca.","select","1","1","0"
"aussendurchmesser_ring","Außendurchmesser Ring","select","1","1","0"
"ausstattung_des_sicherungslast","Ausstattung des Sicherungslasttrenngehäuses","select","1","1","0"
"ausstrahlungswinkel","Ausstrahlungswinkel","select","1","1","0"
"auswertefunktion_integriert","Auswertefunktion integriert","select","1","1","0"
"auswertung_der_eingaenge","Auswertung der Eingänge","select","1","1","0"
"automatischer_korblift","Automatischer Korblift","select","1","1","0"
"automatischer_selbsttest","Automatischer Selbsttest","select","1","1","0"
"autoreverse","Autoreverse","select","1","1","0"
"backofen_reinigung","Backofen-Reinigung","select","1","1","0"
"bandlaenge","Bandlänge","select","1","1","0"
"batterie_eingebaut","Batterie eingebaut","select","1","1","0"
"batterieart","Batterieart","select","1","1","0"
"bauart","Bauart","select","1","1","0"
"baubreite_fuer_schrankeinbau","Baubreite für Schrankeinbau","select","1","1","0"
"bauform","Bauform","select","1","1","0"
"bauform_der_linse","Bauform der Linse","select","1","1","0"
"bauform_des_knopfes","Bauform des Knopfes","select","1","1","0"
"bauform_des_tragschienenadapte","Bauform des Tragschienenadapters","select","1","1","0"
"baugroesse","Baugröße","select","1","1","0"
"baugroesse_des_sicherungseinsa","Baugröße des Sicherungseinsatzes","select","1","1","0"
"bed_bath_type","Bed & Bath Type","select","1","1","0"
"bedeutung_des_piktogramms","Bedeutung des Piktogramms","select","1","1","0"
"bedienung","Bedienung","select","1","1","0"
"bedienungsart","Bedienungsart","select","1","1","0"
"bedruckbar_mit","Bedruckbar mit","select","1","1","0"
"bedruckt","Bedruckt","select","1","1","0"
"befestigung_selbstklebend","Befestigung selbstklebend","select","1","1","0"
"befestigungsart","Befestigungsart","select","1","1","0"
"befestigungsart_halter","Befestigungsart Halter","select","1","1","0"
"befestigungsart_leiter","Befestigungsart Leiter","select","1","1","0"
"befestigungsart_stange","Befestigungsart Stange","select","1","1","0"
"befestigungsflaeche","Befestigungsfläche","select","1","1","0"
"behaeltervolumen","Behältervolumen","select","1","1","0"
"beheizungsart","Beheizungsart","select","1","1","0"
"belastbarkeit","Belastbarkeit","select","1","1","0"
"beleuchtbar","Beleuchtbar","select","1","1","0"
"bemesssteuerspannung_ac_50hz","Bemessungssteuerspeisespannung Us bei AC 50 Hz","select","1","1","0"
"bemesssteuerspannung_ac_60hz","Bemessungssteuerspeisespannung Us bei AC 60 Hz","select","1","1","0"
"bemesssteuerspannung_dc","Bemessungssteuerspeisespannung Us bei DC","select","1","1","0"
"bemessungsbetriebsfrequenz","Bemessungsbetriebsfrequenz","select","1","1","0"
"bemessungsbetriebsleistung_bei",""Bemessungsbetriebsleistung bei AC-3"," 400 V"","select","1","1","0"
"bemessungsbetriebsspannung","Bemessungsbetriebsspannung","select","1","1","0"
"bemessungsbetriebsspannung_ue","Bemessungsbetriebsspannung Ue","select","1","1","0"
"bemessungsbetriebsspannung_ue_","Bemessungsbetriebsspannung Ue bei AC 50 Hz","select","1","1","0"
"bemessungsbetriebsstrom_ie","Bemessungsbetriebsstrom Ie","select","1","1","0"
"bemessungsbetriebsstrom_ie_400",""Bemessungsbetriebsstrom Ie"," 400 V"","select","1","1","0"
"bemessungsbetriebsstrom_ie_bei","Bemessungsbetriebsstrom Ie bei 40 °C Tu","select","1","1","0"
"bemessungsdauerstrom_iu","Bemessungsdauerstrom Iu","select","1","1","0"
"bemessungsfehlerstrom","Bemessungsfehlerstrom","select","1","1","0"
"bemessungsfrequenz","Bemessungsfrequenz","select","1","1","0"
"bemessungsinduktivitaet","Bemessungsinduktivität","select","1","1","0"
"bemessungsleistung","Bemessungsleistung","select","1","1","0"
"bemessungsleistung_drehstrommo",""Bemessungsleistung Drehstrommotor"," Standardschaltung"," bei 230 V"","select","1","1","0"
"bemessungsschaltvermoegen","Bemessungsschaltvermögen","select","1","1","0"
"bemessungsspannung","Bemessungsspannung","select","1","1","0"
"bemessungsstrom","Bemessungsstrom","select","1","1","0"
"bemessungsstrom_bei_ac_50_hz","Bemessungsstrom bei AC 50 Hz","select","1","1","0"
"bemessungsstrom_in","Bemessungsstrom In","select","1","1","0"
"bemessungsversorgungsspannung_","Bemessungsversorgungsspannung bei AC 50 Hz","select","1","1","0"
"bergbauzulassung","Bergbauzulassung","select","1","1","0"
"beruehrungslose_spannungserken","Berührungslose Spannungserkennung","select","1","1","0"
"beschichtung","Beschichtung","select","1","1","0"
"beschriftung","Beschriftung","select","1","1","0"
"bestueckung","Bestückung","select","1","1","0"
"betaetigungsart","Betätigungsart","select","1","1","0"
"betaetigungsart_tubus","Betätigungsart Tubus","select","1","1","0"
"betaetigungsform","Betätigungsform","select","1","1","0"
"betriebsdauer_mit_einer_gasfue","Betriebsdauer mit einer Gasfüllung","select","1","1","0"
"betriebsgeraet","Betriebsgerät","select","1","1","0"
"betriebsklasse","Betriebsklasse","select","1","1","0"
"betriebsspannung","Betriebsspannung","select","1","1","0"
"betriebsspannung_bei_ac_50_hz","Betriebsspannung bei AC 50 Hz","select","1","1","0"
"biegeverhalten","Biegeverhalten","select","1","1","0"
"bild_dateiname_energielabel_oh","","text","1","1","0"
"bildformat","Bildformat","select","1","1","0"
"bildformatumschaltung","Bildformatumschaltung","select","1","1","0"
"bildhelligkeit_ansi","Bildhelligkeit (ANSI)","select","1","1","0"
"bildschirmdarstellung","Bildschirmdarstellung","select","1","1","0"
"bildschirmdiagonale","Bildschirmdiagonale","select","1","1","0"
"bildschirmdiagonale_in_zoll","Bildschirmdiagonale in Zoll","select","1","1","0"
"bildsystem","Bildsystem","select","1","1","0"
"binaereingang","Binäreingang","select","1","1","0"
"bit_aufnahme","BIT-Aufnahme","select","1","1","0"
"bitgroesse","Bitgröße","select","1","1","0"
"blitzstossstrom_10350","Blitzstoßstrom (10/350)","select","1","1","0"
"blitzstromtragfaehigkeit","Blitzstromtragfähigkeit","select","1","1","0"
